id,fullname,address,phone_number,email,workplace,birthdate,registration_date,gender,income,expenses,credit,deposit
496,Sidorova Glafira Rubenovna,"from. Sheregesh, ul. Nikitin, d. 274 in. 3 751 550",86198285809,matveevairina@yahoo.com,"Art. Elec, bul. Carbon, d. To 4/9. 61 643 390",33767,41557,F,,78306,,
497,Alexei Karpov Izmailovich,"n. Tyrnyauz blvd. South, d. 7/9 in. 2/7, 168 184",+7 (864) 522-57-61,kshilova@yandex.ru,"Art. Baikalsk, trans. Traveler, d. 9, pp. 756, 976 611",22589,43519,M,290626,81095,1,
498,Ananias F. Sukhanov,"a. Bilibino, bul. Offshore, d. To 4/1. 6, 601,823",8 740 457 41 19,ruben_1990@hotmail.com,"Tynda, w. Novoselov, d. 78 pp. 83, 394 732",35377,43689,M,255293,64574,1,
499,Comrade. Belyaev Peter Feoktistovich,"COFO Novy Urengoy, etc. Shcherbakova, d. 466 pp. 770, 678 431",+73271421927,bronislav94@rambler.ru,"COFO Shelagontsy, trans. Shady, d. 42 492 063",33479,42130,M,,61390,,
500,Cyrus P. Fomichev,"Mr. Pushkin Mountains, ALL. Dostoevsky, d. 4/9, 954 549",84944358315,yrozhkov@gmail.com,"from. Bavly ul. Kolkhoz, d. 1/6, 187 380",28781,41151,F,,64335,,1
501,Oktiabrina Vladislavovna Fedoseyev,"Art. Zelenogorsk (Lenin.), Str. Maritime, d. 4/7, 004 155",8 (991) 631-7400,xkononov@yahoo.com,"from. Ust-Kool, pr. Krasin, d. 4/1, 897 063",33360,41043,F,122576,99728,1,
502,Zuev Kim Arturovich,"d. Sukhinichi blvd. Poor Damian, d. 7, 132,092",8 877 295 09 12,kapustinarefi@hotmail.com,"a. Perm, ul. Fizkulturnaya, d. 501 to. 56, 618 592",35968,41128,M,,107645,,1
503,Sysoev Sebastian Zhanovich,"COFO Sarapul, nab. Gorky, d. 460, 555 099",8 (205) 792-9426,adamprohorov@gmail.com,"Art. Tikhvin, ul. 60 October, d. 422 p. 7 057 513",30595,42567,M,,98543,,
504,Sergeeva Valery Oskarovna,"a. Vidnoe, ALL. Schorsa, d. 23 to. 7, 061,262",+7 (345) 139-9522,veronika64@yahoo.com,"d. Khuzhir, ALL. Karl Marx, d. 1/1 290006",35483,43633,F,273248,101175,1,
505,Svetlana Mironovna Emelyanova,"d. Kuznetsk Str. Fishing, d. 983 to. 2 211857",86618600484,serafim1992@yandex.ru,"COFO Dudinka, w. Baby, d. To 6/8. 9, 119259",37686,41011,F,,63605,,1
506,Markov Glafira Y.,"Sortavala, nab. Spring, d. 934 to. 66, 171388",82765016123,kudrjashovaantonina@hotmail.com,"n. Yahroma, pr. Truth, d. 444, 170 940",30390,41387,F,,104870,,
507,V. Nekrasov Savvaty,"from. Narym, trans. Deadlock, d. 84, 588 815",8 (105) 963-9820,semen_2002@hotmail.com,"a. Suzun, ALL. Shore, d. 5 to. 81, 995 797",33853,42519,M,,71857,,
508,Zhuravlev Nikon Adamovich,"n. Sharia, ul. Marketplace, d. 3 to. 51, 916 527",+70543562790,gorshkovemeljan@hotmail.com,"d. Kashira, trans. Razin, d. 516 to. 604, 747 603",32022,43001,M,183989,85335,1,1
509,Ulyana Kuzminichna Krasil'nikova,"g. Divnogorsk, w. Arena, d. 75 to. 87, 573 871",+7 (432) 327-0168,kondratevizjaslav@hotmail.com,"n. Tutaev, bul. Goncharov, d. 6, 161,364",30237,41009,F,,83324,,1
510,Shestakov Osip Avdeevich,"Art. Primorsko-Akhtarsk, w. Peasant, d. 62 665 792",+7 464 534 0684,seliverst47@gmail.com,"COFO Lyantor, pr. Schetinkina, d. 3, p. 1/1 772382",25569,43392,M,,75306,,
511,Gleb Gurevich Zuev,"Odintsovo, bul. Ryazan, d. 8/4, 073 499",8 (448) 219-96-70,fmatveev@hotmail.com,"d. Volkhov, w. ZHuravleva, d. 8 pp. 9/9, 223812",32370,42789,M,238256,82628,1,
512,Savin Jacob Yevstigneyevich,"d. Sterlitamak, bul. Soviet Army, d. 3/9 in. 2/2, 145 741",8 (009) 609-48-61,ruslan83@mail.ru,"from. Gudermes, ALL. Krasnoflotskaya, d. 524 p. 1/7, 326 149",27607,43022,M,,68160,,
513,Uvarov Kim Antipovich,"from. Kurchatov, ALL. Smirnova, d. 3/4, 355010",+7 (799) 411-44-27,lidija_99@gmail.com,"Mr. Dombay, bul. Popov, d. 89, 439 569",29977,42612,M,,75243,,
514,Ustinov Love Yulianovich,"n. Belgorod, ALL. Transverse, d. 42 p. 9/6, 440 075",+7 391 441 33 23,savelevsamuil@yandex.ru,"Yaroslavl, nab. Education, e. To 4. 5/2 717336",35901,41084,M,130811,83664,1,
515,Shubin Callistratus Vladlenovich,"COFO Stary Oskol, nab. Minsk, d. 6 pp. 6/8 368020",+7 076 835 0368,vitalishcherbakov@mail.ru,"d. Cherusti, trans. Tolbukhina, d. 29, 066 183",31474,41962,M,,78997,,
516,Amos Davidovich Alekseev,"d. Nyagan, ALL. Miner, d. 44, 301220",+7 (110) 757-96-86,kiselevdobromisl@mail.ru,"Art. Top Penzhino, w. Voykova, d. 8, 251463",34899,43789,M,,73796,,1
517,Wolves Luca Antonovich,"k. Labytnangy, pr. Leninsky, d. 452, 372312",8 (144) 825-14-78,simon_98@mail.ru,"Slavgorod, w. Razdolnoe, d. 4/9, pp. 48, 490 417",27549,42946,M,,99788,,
518,Ulyana G. Veselova,"of Abinsk, trans. Tomsk, d. 141 pp. 77, 975 999",+7 (157) 654-9426,julija09@gmail.com,"a. Neftegorsk (Samar.), Str. Matrosov, d. 762 to. 663, 186077",26590,41051,F,,96837,,
519,Mr. Veselov Yevsei Herasymovych,"COFO Rubtsovsk, w. Novgorod, d. 2/8, 921503",+7 394 573 09 27,evdokimovataisija@gmail.com,"a. Essentuki, w. Volodarsky, d. 465 to. 29 084 328",24958,41837,M,,86668,,
520,Euphrosinia Tarasovna Baranova,"COFO Dubna, pr. Levanevskogo d. 342 to. 88, 627 669",85625239159,emmanuil1974@rambler.ru,"d. Morshansk Str. Republic, d. 3 to. 14, 184 734",35735,43078,F,,93393,,
521,Florentin Feodosevich Sukhanov,"from. Dubna, w. Autumn, d. 53, 677 027",+7 604 150 85 72,evpraksija2010@yahoo.com,"Art. Toksovo, trans. Prudny, d. 7 pp. 836, 598 159",29317,41333,M,,72013,,
522,Anisimova Praskovja Efimovna,"d. Kirzhach, pr. Zaozerny, d. 673 to. 576, 259 330",8 (035) 324-0700,amvrosi34@mail.ru,"from. Angarsk, nab. 60 years of the USSR, d. 2/2 p. 7 246 541",34600,42905,F,273326,84817,1,
523,Xenia Vadimovna Arkhipova,"Igarka, trans. Impact, g. 8, p. 2, 104100",+71171451951,ostapdementev@rambler.ru,"d. Gorno-Altaisk, trans. Rosa Luxemburg, d. 12 pp. 3, 884,748",24114,40935,F,255485,102791,1,
524,Prokhor Efimevich Fomin,"Art. Aleksandrovsk, ALL. Traktovaya d. 594 pp. 880, 721 914",80713985871,izjaslavershov@hotmail.com,"of Kalevala, nab. March 8, d. 8/1, pp. 453, 294 168",33667,42449,M,,90249,,
525,Panfil Zakharievich Guryev,"n. Chita, nab. March 8, d. 210, 446 549",8 570 720 95 17,blohinleonti@rambler.ru,"a. Kataysk, ALL. Shaded, d. 3, 917,527",33830,42176,M,,87350,,1
526,Euphrosinia Antonovna Karpov,"n. Elatma, ALL. Sea, d. 4/6, 025 151",+7 (533) 512-9379,grigorevkuprijan@hotmail.com,"COFO Zhigulevsk, ALL. Tambovskaia, d. 6 k. 9/5, 796,082",25158,41370,F,153823,99701,1,
527,Pancrate Denisovich Korolev,"Art. Moscow ALL. Parkhomenko, d. 3/9, 213 733",8 (380) 926-7353,vadimkazakov@yahoo.com,"from. Ust-Dzheguta, etc. Vladimir, d. 8/8, 825 265",30861,41011,M,,96088,,
528,Konovalov Rodion Germanovich,"Art. Usman, trans. Chaikinoi, d. 41 to. 6, 808,608",82520530745,nesterovamargarita@gmail.com,"COFO Kargasok, pr. Nekrasov, d. 132 pp. 55, 053 552",34390,43277,M,,80004,,
529,Ninel Zhdanovna Suvorov,"COFO Mozhga, nab. Tereshkovoy d. 306, 990 884",+7 546 976 1362,belousovarkadi@hotmail.com,"Art. Shenkursk, trans. Kurskiy, d. 513, 952 129",26487,42157,F,,83218,,
530,Fedosov Vsevolodovich Sox,"from. Maikop, ALL. Large, d. To 6/4. 8, 831 829",83669110097,sergeevamarina@rambler.ru,"COFO Dixon, nab. Stakhanovskaya, d. 88 p. 92, 277810",24413,42437,M,,107743,,
531,Seleznev Maya Albertovna,"a. Essentuki, st. Pugachev, d. 125 to. 25, 863 196",88702447638,aevseeva@hotmail.com,"n. Upper Ufalej, nab. Labor, d. To 26. 9, 711 784",34027,41018,F,213855,88766,1,1
532,Mironov Varlaam Gavrilovic,"d. Birobidzhan, bul. Novoselov, d. 9/7, 074 902",+75552835845,cmuravev@gmail.com,"d. Olenegorsk (Yaqut.) ALL. Ivanova, d. 7, 513,128",29133,43453,M,,84843,,1
533,Ian Matveevich Kononov,"n. Maikop, nab. Papanin, d. 6/7 p. 7/6, 292335",8 861 125 78 63,kiselevvissarion@yandex.ru,"a. Kizilyurt, w. Enthusiasts, d. 55, 783 326",35582,41844,M,288878,103803,1,
534,Galkin Vadim V.,"Art. Ternay, w. Tsiolkovsky, d. 872 p. 8/1, 326 303",8 302 680 4511,sevastjan_1970@rambler.ru,"COFO Elnya blvd. Novosel'skii, d. 94 p. 6/2 304667",34683,43334,M,,82761,,
535,Titova Margarita Alexandrovna,"Art. Aniva lane. Brigadier, d. 7 in. 978 763 132",8 (016) 432-5998,paramonlarionov@yandex.ru,"d. Pechora Lenin ave., d. 8/5, pp. 3, 905,386",30335,43422,F,192506,78265,1,
536,Sofron Izotovich Galkin,"n. Viborg, pr. Mound, d. 536, 797 215",+7 541 468 4453,poljakovladislav@yahoo.com,"COFO Novorossiyka, ALL. Iaroslavskaia, d. 9, 325 139",30586,42422,M,,84029,,
537,Markov Milovan Avdeevich,"n. Gorodovikovsk, w. Privolnoe, d. 5 pp. 6/6 783432",+7 (593) 735-1159,seliverstovazhanna@mail.ru,"d. Lazarevskoye, trans. Border, d. 3/8 p. 4, 453,305",26693,42253,M,,100213,,
538,Cyrus Tarasovna Khokhlova,"d. Novorossiysk, w. Red partisans, d. 2/6 in. 3/6, 121416",8 (032) 398-02-43,vseslav49@gmail.com,"from. Tula, w. Schmidt, d. 468, 730 406",24156,41322,F,,85748,,1
539,Evgeny Novikov Vladlenovich,"Mr. Kyren, ALL. Working, d. 6 in. 6/8 132711",8 924 544 4650,efimkovalev@yahoo.com,"from. Ust-Kool, w. Troitskoe, d. To 2/6. 1 011 749",30752,42058,M,,88909,,
540,Anna Haritonovna Moses,"from. Kizilyurt Str. Freedom, d. 1/5, 590,358",8 (997) 331-0578,zikovborislav@gmail.com,"a. Pinega, nab. Marketplace, d. 8/5 in. 185 862 608",37152,42555,F,,83963,,1
541,Akulina Veniaminovna Loginova,"a. Nevinnomyssk, bul. Station, e. To 4. 432, 395856",8 784 168 8319,dkarpov@rambler.ru,"Art. Taishet, pr. Krasnogvardejskiy, d. 861, 184 859",22292,41673,F,,69587,,1
542,Glafira Nathanovna Krylov,"Ruza, etc. Papanina, d. 5/7 in. 66 725 385",+7 (140) 946-4092,radovangolubev@mail.ru,"from. Cheremkhovo, w. Steppe, d. 73 p. 5, 367,584",27993,42616,F,272128,73759,1,
543,Konovalov Spartak Glebovich,"n. Bologoe, w. Power Engineers, d. 9/4, 128715",+7 344 502 87 64,radim1983@yahoo.com,"COFO Tchebarkul, pr. Zarechnyi, d. 84, 785 049",27358,42448,M,,77550,,
544,Popov Samson Davidovich,"n. Khabarovsk, pr. Matrosov, d. 66, 381202",+7 005 899 2582,petuhovatamara@yahoo.com,"COFO lips lane. Airfield, d. 130, 982 473",25844,42043,M,,74349,,
545,Anastasia Robertovna Agafonov,"a. Zaraysk Str. Tomsk, d. 838 p. 8/8, 397590",+7 (606) 533-93-54,sigizmund82@yandex.ru,"from. Revda (Sverd.), Acad. Trinity, d. 96 to. 15, 754 957",36291,41549,F,,77028,,
546,Lebedev Auxentios Cheslavovich,"Ust-Orda, st. Schmidt, d. 5, 322646",+7 634 378 0568,vinogradovvatslav@hotmail.com,"d. Nefteyugansk, nab. 1 Maya, d. To 149. 9 644 552",36227,41011,M,,85540,,
547,Ustin Germanovich Bespalov,"Art. Moscow, MSU, ALL. Cheerful, d. 535, 401 740",88309227362,averjantrofimov@gmail.com,"Kirovsk (Lenin.), Str. Coniferous, d. 71 to. 54, 784 122",29947,42400,M,,55366,,
548,Pancakes Sofron Ilyasovich,"Monchegorsk Street. Road, d. 13, 119 919",+7 (383) 197-6860,ilitkin@hotmail.com,"n. Moscow, pr. Azov, d. 9 in. 376 405 285",33185,41814,M,,76906,,1
549,Auxentios Dem'yanovich Drozdov,"COFO Tsimlyansk, nab. Repin, d. 30, k. 441 733 424",8 (055) 800-80-18,bikovaeleonora@gmail.com,"from. Egorievsk Str. October, d. 4/9, pp. 936, 516 857",24172,43564,M,249780,69466,1,
550,Novikov Elizabeth Maksimovna,"d. Krasnoural'sk, nab. Paris Commune, d. 3/2 in. 2/9, 141 862",89273401299,svetozargromov@rambler.ru,"COFO Rylsk, trans. 60 years of the USSR, d. 585, 863 219",31193,41210,F,,84757,,1
551,Love Yulianovich Baranov,"d. Severobaikalsk, nab. Circumferential, d. 2/2 p. 8, 703 760",+7 (213) 191-14-80,kononovnikandr@mail.ru,"Art. Snezhnogorsk (Moorman.) Emb. Student, d. 97 p. 2 914 177",24566,42468,M,,65280,,
552,Merkushev Afinogen Iosipovich,"from. Kirovo-Chepetsk, pr. Sakhalinsky, d. To 944. 3 635 853",+70021871691,mstislav_1981@gmail.com,"Sibai, bul. The traveler, d. 80, 384 843",35626,40910,M,,95926,,
553,Athanasius Aaranovitch Belyakov,"a. Stavropol, trans. Small, d. 6 pp. 8/5, 970,936",8 (379) 387-85-95,ribakovspartak@yandex.ru,"g. Cheboksary, bul. Krasnoarmeysky, d. 5 k. 5/9 826043",36769,42517,M,156150,92390,1,
554,Nikonov Leo Zhanovich,"Art. Artem, nab. Border, d. 9, 930 539",87855576705,kfedoseev@hotmail.com,"d. Ust-Kut, nab. Zaprudnaya, d. 870 pp. 525, 072 144",31878,42548,M,116304,95784,1,
555,Maria Osipova Efimovna,"k. Vitim pr. Rural, d. 4 to. 270, 368 507",81144999549,nonna2006@yahoo.com,"Art. Mtsensk, w. Walnut, d. 9 k. 220, 496 564",34433,43609,F,230356,96339,1,
556,Svetozar Vladilenovich Isakov,"n. Sibai, ALL. University, d. 77 to. 70, 310 261",8 923 744 01 59,gerasimovavde@mail.ru,"d. Abakan, ul. Naval, d. 22 to. 3 752 401",36152,41047,M,125672,82708,1,1
557,Eustace Gordeevich Ustinov,"a. The hype, bul. Stepan Razin, d. 62 pp. 359, 504 813",8 (916) 872-80-76,askold_1986@hotmail.com,"d. Tulun, ul. Uritskogo d. 536 pp. 10, 904 371",26725,41917,M,,67957,,1
558,Sofia Yakovlevna Merkusheva,"COFO Korolev, nab. Smolenskaya d. 4.6 pp. 92, 901 255",8 (504) 956-24-77,lavrentevradislav@yahoo.com,"n. Severobaykalsk Str. Kama, d. 4, 534,791",36330,41239,F,,84703,,
559,Vseslav Teimurazovich Fists,"d. Bijsk, pr. Meadow, d. to 7/9. 4, 691,077",+7 668 990 6983,german47@rambler.ru,"Solikamsk, ALL. Haharina, d. 1 k. 5, 394,696",31174,41618,M,,81162,,
560,Oksana Kalashnikova Valentinovna,"from. Taldom, w. Track, d. 1 k. 28, 629 285",+7 (123) 152-8587,ttimofeev@mail.ru,"Art. Kostomuksha, w. Goncharova, d. 3/7, 581 705",28698,41541,F,217562,90445,1,1
561,Sazonov Roman Danilovich,"n. Palana, nab. Peace, d. 815, 051 564",+79496069195,petuhovaljubov@hotmail.com,"d. Kizilyurt, w. Chekhov, d. 175, 675 709",36238,43752,M,184049,68375,1,1
562,Ksenia Sokolova Timofeevna,"Art. Makushino, pr. Short, d. 4/9 824135",86915145215,irakli_55@yahoo.com,"Art. Petushki, w. Cooperative, d. 129 p. 4, 730,466",23221,41091,F,,66905,,
563,Fock Edgarovich Shcherbakov,"Art. Noyabrsk, bul. Peasant, d. 1/9 p. 1/9, 366 649",8 (841) 124-5731,litkinamaja@yandex.ru,"a. Abinsk, nab. Marx, d. 166, 515 496",26013,43377,M,,82046,,
564,Pelagia Timurovna Kudryashov,"n. Yaksha Str. Labor, d. 8/3 p. 5/2, 781 610",+78610648679,bikovaklavdija@gmail.com,"a. Krasnoturinsk, ALL. Chkalov, d. 739 to. 4/3, 337 990",24967,41948,F,,85635,,
565,Nina Baranova Askoldovna,"d. Rossosh, bul. Average, d. 6/6 pp. 965, 760 867",8 (571) 261-72-86,isidor1994@yahoo.com,"d. Lysva Str. Gornyatsky, d. 25, p. 7, 080,731",23980,41421,F,117429,76868,1,1
566,Pakhomov Bojan Antipovich,"d. Terrible, w. Aircraft, d. 7 pp. 3, 137,964",+7 578 345 46 98,dorofe1990@gmail.com,"from. Lodeynoye Pole, w. Popov, d. 9, 273 280",37367,41086,M,285911,101303,1,
567,Oktiabrina K. Rogov,"from. Bilibino, nab. Ul'yanova, d. 16 p. 9/1 624055",8 328 612 03 93,bobilevmefodi@hotmail.com,"a. Suzdal, w. City, d. 219, 966 033",32829,41919,F,121028,57680,1,1
568,Sergey Fedorovich Desk,"a. Balashikha, sh. Krasnoflotskoye, d. 8 to. 605, 122 284",8 246 800 1498,kira78@yahoo.com,"Kamyshin, bul. Ivanovskii, d. To 5/2. 2/3, 195,290",24314,43609,M,,98497,,1
569,Victoria Isakova Oskarovna,"COFO Essentuki, st. Motorists, d. 41 to. 244, 381 248",8 (481) 934-8825,burovsolomon@hotmail.com,"a. New Urengoy, ul. Mechanical Engineers, d. 2 to. 95, 673 566",28788,40985,F,,92610,,
570,Krasil'nikova Marina S.,"Schelkovo, st. Taezhnaya, d. 220, 212 882",+71625340799,tsvetkovbronislav@gmail.com,"n. Elbrus, bul. Teachers, d. 288 p. 9/2, 269 897",24108,41340,F,291128,74150,1,1
571,Vincent Yevstigneyevich Ovchinnikov,"a. Great Ustyug, trans. Musa Jalil, d. 7/9, pp. 291, 828 246",+7 (733) 303-12-36,demjan_42@gmail.com,"Art. Masty, w. Sovkhoznaya, d. 3 k. 3/2 436808",26210,43821,M,170262,93349,1,
572,Regina Gavrilova Bogdanovna,"g. Arzamas, ALL. Quiet, d. 21, p. 5, 898,094",8 (115) 919-0868,kudrjavtsevaangelina@mail.ru,"from. Uchaly, nab. Highway, d. 5, 725,058",23569,41081,F,,97508,,1
573,Polina Naumova Arkhipovna,"Art. Domodedovo, trans. Basil, d. 932 to. 567, 571 189",8 (312) 249-36-63,frol_95@rambler.ru,"a. Snezhinsk, ALL. Kiev, d. 3/7 pp. 991, 021 662",27962,41377,F,109699,87496,1,
574,Faith Robertovna Aksenov,"a. Volkhov, bul. Surikov, d. 39, 533 430",+7 (702) 301-6362,belozerovprokl@yahoo.com,"a. Novorossiysk, nab. Kama, d. 46 918 843",33302,41072,F,246564,80024,1,1
575,Ludmila Drozdov,"from. Krasnogorsk (Mosk.), Acad. 40 October, d. 3, p. 3, 631,571",8 (594) 313-76-35,zhanna_91@mail.ru,"d. Vytegra, pr. Yaroslavskyy, d. 1 k. 51, 554 428",22695,42450,F,145840,78780,1,
576,Philemon Alexandrovich Arkhipov,"from. Pushkin Mountains, w. Kazan, d. 7 pp. 2 570 497",84690142511,avdekrjukov@mail.ru,"d. Uglegorsk, ul. Peace, d. 71 to. 206, 641 700",32879,43007,M,,66044,,1
577,Sofia Petrovna Solovyov,"n. Cherusti, trans. Lazo, d. 96 to. 1 944 483",+75892883488,kira1994@yandex.ru,"n. Suzdal, ALL. Amur, d. 7, 517,189",28643,43248,F,297761,91597,1,
578,Selivan Feodosevich Martynov,"n. Shelehov blvd. Pushkin, d. 933, 488 893",+78086813609,suvorovstepan@gmail.com,"n. Essentuki, ALL. Guerrilla, d. 5/3, 692 972",25023,43780,M,,95265,,
579,Sidor G. Galkin,"Art. Nefteyugansk, ul. Large, d. 40, 236 559",+78867600969,prohorovipat@mail.ru,"COFO tulpan river, trans. Maxim Gorky, d. 88 in. 9/5, 207 130",23559,42006,M,,76787,,1
580,Sukhanov Mitofan Fokich,"Kovrov, ave. Short, d. 2/3 599819",+7 (514) 658-7030,ckostin@hotmail.com,"Arkhangelsk, Embankment. Tips d. To 5/9. 365, 880 771",36017,42397,M,,66671,,
581,Kopylov Trifon Zhanovich,"Mr. Cherskii, nab. Lunacharskii, d. 284, 411 426",8 (832) 017-8632,ignati2007@yandex.ru,"Mr. Psebay, etc. Baikal, d. 51, 140514",31901,43068,M,,92714,,
582,Seliverstov Haggai Aaranovitch,"Art. Muravlenko Str. Karl Marx, d. 69, 293297",8 895 231 1693,solomon1978@rambler.ru,"from. Lyubertsy, nab. Tambov, d. 244, 315282",34350,43148,M,,73174,,
583,Grishin Fedot Timurovich,"k. Nazran, pr. School, d. 2 pp. 28, 760 047",+75611902769,anike75@rambler.ru,"Art. Noyabrsk, nab. Ivanovo, d. 996, 202936",28790,43647,M,217482,74614,1,
584,Regina Stanislavovna Shiryaev,"Art. Derbent, ul. Spataka, d. 2 k. 1/9, 629,520",86675431221,mstislav35@yandex.ru,"n. Tutonchana Str. Krasnogvardejskaya, d. 572 pp. 397, 710 225",36337,43477,F,,69544,,1
585,Anisimova Thekla Valentinovna,"COFO Severodvinsk, bul. Friendship, d. 4, p. 6, 846,904",+7 075 664 6203,minaosipov@rambler.ru,"from. Urai, trans. Kiev, d. 943, 642 507",22366,41038,F,,95590,,
586,Artemyev K. Love,"n. Staraya Russa, nab. Zhukovskogo d. 128, 860 483",8 (626) 351-7030,alekseevpolikarp@hotmail.com,d. Sladkova Str. Komsomolskaya. 3 847 545,30272,42540,F,,95399,,1
587,Davydov Selivan Harlamovich,"COFO Yar-Sale, trans. Sedova, d. 82 k. 7/5, 024,050",+73634204450,simon_65@hotmail.com,"Bratsk, trans. Meliorativny, d. 3, 931,210",31475,43431,M,194348,87421,1,
588,Sorokin Agatha Nathanovna,"n. Tobolsk, w. Schmidt, d. 9/2 pp. 610, 790 286",8 (800) 791-10-42,rodionovamvrosi@rambler.ru,"COFO Buynaksk, nab. Postal, d. 44, 749 650",31280,42119,F,,70166,,
589,Marina Bobrova Egorovna,"k. Tobolsk, pr. The high voltage, d. 840 p. 9/2 020613",85437563125,evdokija68@rambler.ru,"from. Upper Tagil, st. Chkalov, d. 48 in. 803 148 703",30983,41492,F,259949,58427,1,
590,Rozhkov Prov Fokich,"n. Arkhangelsk, bul. Children, d. 2/6 p. 65, 209573",+7 833 207 77 26,mir2019@yahoo.com,"Zavodoukovsk blvd. Pond, d. 94 to. 92, 434 113",28978,42121,M,201028,79793,1,
591,Hope Kirillovna Nazarov,"d. Vendinga w. Kutuzova, d. 29 to. 93, 650 153",8 (068) 336-4442,tsvetkovalarisa@hotmail.com,"Art. Dixon, ALL. Shevchenko, d. 140 to. 2/9, 658,419",28908,42798,F,103517,76184,1,
592,Davydova Veronica Filip,"Torzhok, ul. Chervonoarmijska, d. 15, 112640",+70709891062,lukjan_62@rambler.ru,"Art. Suzdal, ALL. Karl Marx, d. 83 in. 984 400 780",32129,41235,F,,71828,,
593,Lytkina Xenia Alexandrovna,"n. Achkhoy-Martan, trans. Vavilov-, d. To 8/9. 57 498 804",+7 437 038 2904,olimpiada_01@rambler.ru,"from. Michurinsk, ALL. International, d. 677, 047 870",33593,42138,F,190212,91041,1,
594,Galina Stepanova Vladislavovna,"n. Volokolamsk, bul. Dobrolyubova. 659 to. 24, 359013",+75851460232,egorovaglafira@gmail.com,"a. Kamyshin, bul. Kama, d. 44, 414 935",26546,43657,F,,86924,,1
595,Nadezhda Popova Arkhipovna,"d. Aginskoe (Zabayk.) Emb. Repin, d. 2 pp. 2/2 412981",+77721319190,hafanasev@yahoo.com,"a. Solikamsk, st. Kommunarov d. 8, 784 312",29465,42138,F,118288,79380,1,
596,Kulagin Trifon Valerianovich,"Chegem Str. Altitude, d. To 4/4. 57, 227471",8 (366) 617-55-62,shashkovaveronika@hotmail.com,"from. Gorno-Altaisk, trans. Puteyskaya, d. 7/2 p. 93, 238158",28620,42405,M,,96468,,1
597,Fock Arsenovich Rozhkov,"Art. Nevyansk, ul. Minsk, d. 219, 710 023",8 571 286 79 54,danilovkliment@hotmail.com,"from. Khimki, bul. Friendship, d. 6 pp. 5/6 984260",22454,41574,M,,75134,,1
598,Akulina Ilinichna Gulyaev,"COFO Katav-Ivanovsk, bul. Ushakov, d. 28, pp. 159, 800 155",8 835 907 0261,makarovkazimir@yahoo.com,"d. Siktivkar, ave. Grandma, d. 3, p. 81, 314693",36663,42188,F,,113231,,
599,Bogdanov Carl Ignatievich,"d. Gudermes lane. February, d. 2/9 in. 9/4, 704 535",+7 683 076 57 91,uljan1979@rambler.ru,"COFO Chikola, w. Miner, d. To 46. 6, 562,385",32642,41763,M,138726,75525,1,
600,Euphrosinia Tarasovna Denisov,"d. Kargasok, trans. Stepan Razin, d. 3/4 pp. 463, 985 036",+7 (308) 887-9563,eliseevandre@mail.ru,"COFO Urjupinsk Str. Pavlova, d. 3/5, 705 400",34194,43480,F,181300,81443,1,
601,Olympia Arturovich Kirillov,"from. Mezhdurechensk, ALL. Zaovrazhnaya, d. To 5/3. 4, 268,430",+7 (931) 521-40-18,cdementev@yahoo.com,"COFO Zavodoukovsk, nab. Moss, d. 659, 822 504",26484,41035,M,104389,82124,1,
602,Olympics Maksimovna Gerasimova,"d. Chulym, ALL. Kalinin, d. 1 743 089",+7 (988) 995-73-68,eremegorshkov@hotmail.com,"n. Ustyuzhna, trans. The water, d. 2 pp. 26, 875 601",26918,41303,F,,82424,,
603,Theophane Gavrilovic Mamontov,"Uvarovo, w. Surikov, d. 2/9 in. 490, 391489",+7 743 077 31 04,vinogradovljubosmisl@hotmail.com,"COFO Angarsk, nab. Apricot, d. 679 to. 5/4, 050 316",29476,42372,M,,86628,,
604,Kirillova Natalia,"Art. Ardon, w. Parkhomenko, d. 6, 667,320",+73165064892,apollinarinikiforov@gmail.com,"from. Vorkuta, bul. Sunny, d. 528, 694 678",35719,42515,F,,72637,,
605,Kuznetsov Benedict Avdeevich,"Art. Terskol Street. Prudnaya, d. 61, 189043",+74628694901,zinovevevse@yandex.ru,"n. Kogalym, nab. Comintern d. 3.1 pp. 41, 861 818",31212,41723,M,,91765,,
606,Dorofeev Micah Valer'yanovich,"Ufa, pr. Commune, d. 82 pp. 15, 343 199",+73551200007,arhipovalidija@yandex.ru,"COFO Dombay Street. Maxim Gorky, d. 1/4, 730 283",37430,43351,M,,69284,,
607,Ekaterina Danilova Haritonovna,"COFO Millerovo ALL. M.Gorky d. 5 to. 89, 365912",+7 946 940 9461,gnesterov@gmail.com,"Severo-Kurilsk, etc. Tchaikovsky, d. 63, 276 361",23448,40967,F,237199,78587,1,
608,Angelica Mironovna Tikhonov,"n. Hassan, ALL. Baikalskaya d. 724 p. 5, 955,494",+7 (120) 122-7583,melnikovzahar@rambler.ru,"d. Izhevsk, ul. Radishcheva d. 2 to. 142, 882 773",35858,41985,F,,83896,,
609,Yakovleva Elena G.,"Art. Kaluga, trans. Vidradny, d. 286, 974 091",82949305699,kira_1992@mail.ru,"from. Inta, ALL. Tulenin, d. 4/4 in. 984 403 689",27868,41396,F,,93240,,1
610,Medvedev Taisiya V.,"Tikhoretsk, w. Tolbukhina, d. 2 to. 85, 014 340",+76823188261,rkuznetsov@gmail.com,"n. Nizhneudinsk, trans. Labor, d. 1/4, 272 259",36253,42134,F,267122,74615,1,
